Area_type,Location,Room size,Square_ft,Bathroom,Parking,Balcony,price_old,availability,Age
Super built up  Area,Hulimavu,3,1260,2,Yes,1,82,Ready To Move,2017
Built up  Area,Kengeri,5,2500,4,Yes,3,100,Ready To Move,2018
Super built up  Area,Begur Road,2,1241,2,Yes,1,64,19-Jun,2017
Super built up  Area,Sarjapur  Road,2,1025,2,Yes,2,45.5,Ready To Move,2017
Plot  Area,Postal Colony,2,1500,1,Yes,0,218,Ready To Move,2017
Built up  Area,Electronic City,2,1070,2,Yes,1,60,17-Jun,2017
Super built up  Area,Begur,2,815,2,Yes,1,40,Ready To Move,2017
Built up  Area,Kanakpura Road,3,2000,3,Yes,3,105,Ready To Move,2015
Super built up  Area,Malleshwaram,2,1400,2,Yes,1,190,Ready To Move,2017
Plot  Area,Varthur,4,1740,4,Yes,3,175,Ready To Move,2018
Super built up  Area,ITPL,4,5666,5,Yes,0,300,Ready To Move,2019
Built up  Area,Sarjapur  Road,2,1216,2,Yes,2,70,18-Apr,2017
Super built up  Area,pavitra paradise,3,2200,2,Yes,1,190,Ready To Move,2017
Plot  Area,Hegde Nagar,4,3500,5,Yes,2,450,Ready To Move,2019
Plot  Area,Shampura,6,970,6,Yes,3,105,Ready To Move,2019
Plot  Area,Vidyaranyapura,7,3150,7,Yes,3,375,Ready To Move,2020
Plot  Area,Kanakpura Road,2,1200,2,Yes,0,62,Ready To Move,2017
Super built up  Area,Marathahalli,2,1026,2,Yes,1,50.18,Ready To Move,2017
Built up  Area,Hulimavu,1,450,1,Yes,1,20,Ready To Move,2017
Super built up  Area,KR Puram,2,1205,2,Yes,1,45.79,Ready To Move,2017
Super built up  Area,Jakkur Plantation,2,1368,2,Yes,3,87,Ready To Move,2017
Built up  Area,Anekal,1,420,1,Yes,1,12.5,Ready To Move,2017
Built up  Area,Doddakallasandra,2,1270,2,Yes,2,42,Ready To Move,2017
Super built up  Area,Anekal,2,614,1,Yes,1,28,Ready To Move,2017
Plot  Area,Margondanahalli,2,1050,2,Yes,0,58,18-May,2017
Super built up  Area,Yelahanka,2,1408,2,Yes,2,58,Ready To Move,2017
Super built up  Area,Subramanyapura,3,1223,2,Yes,2,42.81,Ready To Move,2017
Built up  Area,Reliaable Tranquil Layout,3,1507,3,Yes,1,80,Ready To Move,2015
Super built up  Area,kadubisnahalli,2,1160,2,Yes,2,57,Ready To Move,2017
Plot  Area,Kithaganur,3,1200,3,Yes,1,70,Ready To Move,2015
Built up  Area,Poorna Pragna Layout,2,960,2,Yes,3,50,Ready To Move,2017
Super built up  Area,NGR Layout,2,1021,2,Yes,2,46,Ready To Move,2017
Super built up  Area,Hegde Nagar,3,2162,4,Yes,2,129,Ready To Move,2018
Super built up  Area,Channasandra,2,1065,2,Yes,1,36,Ready To Move,2017
Super built up  Area,Attibele,1,400,1,Yes,1,10.25,Ready To Move,2017
Super built up  Area,Bannerghatta Road,3,1465,2,Yes,1,75,Ready To Move,2017
Super built up  Area,Kanakpura Road,2,900,2,Yes,1,41,20-Dec,2017
Super built up  Area,Marathahalli,3,1800,3,Yes,2,95,Ready To Move,2015
Super built up  Area,Amblipura,2,1175,2,Yes,2,83,Ready To Move,2017
Super built up  Area,Lavelle Road,3,6729,4,Yes,,900,Ready To Move,2018
Plot  Area,Vijayanagar,4,1500,4,Yes,1,360,Ready To Move,2018
Super built up  Area,Sanjay nagar,2,1050,2,Yes,0,59,Ready To Move,2017
Built up  Area,Electronic City Phase II,3,1400,2,Yes,2,40.43,18-Aug,2017
Super built up  Area,Indira Nagar,3,1650,3,Yes,1,150,Ready To Move,2015
Super built up  Area,KR Puram,3,1827,3,Yes,2,97,Ready To Move,2015
Super built up  Area,Thanisandra,3,1930,4,Yes,2,122,Ready To Move,2018
Super built up  Area,Mysore Road,2,883,2,Yes,1,37,18-Feb,2017
Built up  Area,Kengeri,1,550,1,Yes,1,16.75,Ready To Move,2017
Built up  Area,Electronic City,3,1400,2,Yes,1,40.44,18-Dec,2017
Plot  Area,RMV 2nd Stage,4,1350,4,Yes,1,310,18-Aug,2018
Super built up  Area,Kanakapura,3,1290,2,Yes,3,38.69,Ready To Move,2017
Built up  Area,Raja Rajeshwari Nagar,3,1021,3,Yes,2,59,Ready To Move,2015
Super built up  Area,Whitefield,2,1158,2,Yes,1,55,17-Dec,2017
Plot  Area,Varanasi,5,1200,4,Yes,1,99,Ready To Move,2018
Super built up  Area,Nagarbhavi,3,1400,2,Yes,2,135,Ready To Move,2017
Plot  Area,Doddaballapur,4,2400,3,Yes,0,200,Ready To Move,2015
Super built up  Area,Munnekollal,3,1200,2,Yes,1,57.9,18-Apr,2017
Built up  Area,JP Nagar,3,1520,3,Yes,2,125,Ready To Move,2015
Super built up  Area,Thanisandra,1,620,1,Yes,0,38.46,18-Nov,2017
Super built up  Area,EPIP Zone,3,2710,3,Yes,2,177,Ready To Move,2015
Super built up  Area,Kenchenahalli,2,1150,2,Yes,2,57,Ready To Move,2017
Super built up  Area,Yelahanka,2,1101,2,Yes,2,37,Ready To Move,2017
Super built up  Area,Mahalakshmi Layout,3,1200,2,Yes,3,110,Ready To Move,2017
Super built up  Area,Hebbal,2,1252,2,Yes,1,92,21-Dec,2017
Super built up  Area,Marathahalli,3,1650,3,Yes,2,85,Ready To Move,2015
Built up  Area,Marathahalli,2,1270,2,Yes,2,80,Ready To Move,2017
Super built up  Area,Tumkur Road,2,992,2,Yes,1,70,Ready To Move,2017
Super built up  Area,BEML Layout,3,2000,3,Yes,2,85,Ready To Move,2015
Super built up  Area,Geddalahalli,2,893,2,Yes,2,34.5,Ready To Move,2017
Built up  Area,Bisuvanahalli,3,1075,2,Yes,1,41.49,Ready To Move,2017
Built up  Area,Kumaraswami Layout,7,3200,7,Yes,0,150,Ready To Move,2020
Super built up  Area,Electronic City,2,1190,2,Yes,1,42,Ready To Move,2017
Built up  Area,Ashwathnagar,3,800,2,Yes,0,60,Ready To Move,2017
Super built up  Area,Sarjapur  Road,3,1814,3,Yes,3,63,Ready To Move,2015
Built up  Area,Rahmath Nagar,3,1400,3,Yes,2,98,Ready To Move,2015
Plot  Area,Bommasandra,5,1400,6,Yes,3,252,Ready To Move,2019
Super built up  Area,Murugeshpalya,3,1344,2,Yes,0,56,Ready To Move,2017
Plot  Area,Whitefield,4,5400,5,Yes,3,475,Ready To Move,2019
Super built up  Area,Kanakpura Road,3,1843,3,Yes,2,95,Ready To Move,2015
Super built up  Area,Chikkadunnasandra,2,1138,2,Yes,1,32,18-Feb,2017
Built up  Area,Nagappa Reddy Layout,3,1495,2,Yes,2,70,Ready To Move,2017
Super built up  Area,Electronic City,2,880,2,Yes,1,19,Ready To Move,2017
Super built up  Area,Whitefield,3,1396,3,Yes,1,74,18-Apr,2015
Built up  Area,Garudachar Palya,3,1610,2,Yes,3,119,Ready To Move,2017
Super built up  Area,Tindlu,2,1050,2,Yes,2,55,Ready To Move,2017
Built up  Area,Kumbena Agrahara,3,1410,2,Yes,2,43.71,14-Jul,2017
Super built up  Area,Ramamurthy Nagar,2,1050,2,Yes,2,37.8,Ready To Move,2017
Built up  Area,Kumaraswami Layout,3,1310,2,Yes,1,85,Ready To Move,2017
Super built up  Area,Yelahanka,2,1104,2,Yes,2,58,Ready To Move,2017
Super built up  Area,Hennur Road,2,1165,2,Yes,1,67,19-Mar,2017
Super built up  Area,Kudlu,2,1027,2,Yes,2,44,Ready To Move,2017
Super built up  Area,Hormavu,2,1310,2,Yes,3,60,Ready To Move,2017
Built up  Area,Chikkanahalli,2,1052,2,Yes,2,52,Ready To Move,2017
Super built up  Area,Singasandra,3,1464,3,Yes,2,56,Ready To Move,2015
Super built up  Area,1st Block Koramangala,2,1000,2,Yes,2,45,Ready To Move,2017
Super built up  Area,Jayanagar,3,2240,3,Yes,2,300,18-May,2015
Super built up  Area,Electronic City,2,1150,2,Yes,1,38.08,Ready To Move,2017
Super built up  Area,Thanisandra,3,2019,3,Yes,1,70.67,19-Dec,2015
Super built up  Area,Varthur,2,986,2,Yes,1,31,Ready To Move,2017
Plot  Area,Banashankari Stage III,1,1350,1,Yes,1,145,Ready To Move,2017
Built up  Area,9th Phase JP Nagar,8,800,8,Yes,,140,Ready To Move,2020
Super built up  Area,Akshaya Nagar,3,1893,4,Yes,2,95,Ready To Move,2018
Super built up  Area,Gollarapalya Hosahalli,3,1318,3,Yes,2,56,Ready To Move,2015
Built up  Area,Yelahanka,3,1325,2,Yes,2,58,Ready To Move,2017
Built up  Area,Kereguddadahalli,2,800,2,Yes,1,33,Ready To Move,2017
Super built up  Area,Canara Bank Colony,3,1300,3,Yes,2,42.25,Ready To Move,2015
Built up  Area,Dodda Banaswadi,3,1300,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Jalahalli East,2,1010,2,Yes,1,52,Ready To Move,2017
Super built up  Area,Banashankari,2,1260,2,Yes,3,75,Ready To Move,2017
Built up  Area,Ulsoor,4,2500,4,Yes,0,170,Ready To Move,2018
Plot  Area,Halanayakanahalli,3,1520,3,Yes,1,165,Ready To Move,2015
Super built up  Area,Bellandur,3,1665,3,Yes,,85,Ready To Move,2015
Super built up  Area,Subramanyapura,3,1800,3,Yes,,80,Ready To Move,2015
Super built up  Area,Harlur,2,1197,2,Yes,1,75,Ready To Move,2017
Super built up  Area,Manayata Tech Pa  ,2,1050,2,Yes,2,45,Ready To Move,2017
Plot  Area,Manjunath Nagar,5,910,4,Yes,2,194,Ready To Move,2018
Super built up  Area,Thanisandra,3,1241,2,Yes,1,68,Ready To Move,2017
Super built up  Area,Maithri Layout,3,1567,2,Yes,3,62,Ready To Move,2017
Super built up  Area,Kasavanhalli,3,1747,3,Yes,1,110,Ready To Move,2015
Super built up  Area,Ramagondanahalli,3,1475,2,Yes,2,55,18-Jun,2017
Plot  Area,Pa   View Layout,4,600,4,Yes,1,70,Ready To Move,2018
Plot  Area,Xavier Layout,3,1524,4,Yes,2,400,Ready To Move,2018
Super built up  Area,Hennur Road,2,980,2,Yes,1,51,Ready To Move,2017
Super built up  Area,Dasanapura,2,966,2,Yes,1,58,18-Apr,2017
Super built up  Area,Ferrar Nagar,4,2360,3,Yes,2,185,Ready To Move,2015
Super built up  Area,Sarjapur  Road,2,1112,2,Yes,1,62,19-Mar,2017
Super built up  Area,Electronic City,2,550,1,Yes,1,16,Ready To Move,2017
Built up  Area,Surabhi Layout,3,1760,3,Yes,3,90,Ready To Move,2015
Super built up  Area,Hennur,3,1830,2,Yes,3,113,Ready To Move,2017
Super built up  Area,Yelahanka,2,1175,2,Yes,1,67.77,19-Mar,2017
Super built up  Area,Whitefield,2,1175,2,Yes,1,41,Ready To Move,2017
Super built up  Area,Horamavu Banaswadi,2,1025,2,Yes,2,45,Ready To Move,2017
Super built up  Area,Hennur Road,2,1232,2,Yes,1,80,18-Aug,2017
Built up  Area,5th Phase JP Nagar,2,1010,2,Yes,2,57,Ready To Move,2017
Super built up  Area,Sarjapur  Road,2,1273,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Battarahalli,2,1590,2,Yes,2,102,17-Aug,2017
Super built up  Area,Air View Colony,2,1100,2,Yes,1,58.5,Ready To Move,2017
Super built up  Area,Electronic City Phase II,3,1252,2,Yes,1,65,Ready To Move,2017
Super built up  Area,1st Phase JP Nagar,4,2615,5,Yes,3,222,Ready To Move,2019
Plot  Area,Arishinakunte,5,1200,6,Yes,,140,Ready To Move,2019
Super built up  Area,Yelahanka,2,1322,2,Yes,1,77.9,Ready To Move,2017
Plot  Area,7th Phase JP Nagar,1,1000,1,Yes,1,60,Ready To Move,2017
Super built up  Area,Harlur,3,1755,3,Yes,2,117,Ready To Move,2015
Super built up  Area,Electronic City Phase II,2,1135,2,Yes,2,46,Ready To Move,2017
Plot  Area,Rajaji Nagar,8,1200,10,Yes,2,180,Ready To Move,2017
Plot  Area,Electronic City,4,1200,4,Yes,1,125,Ready To Move,2018
Super built up  Area,Nagavarapalya,2,1260,2,Yes,2,85.5,Ready To Move,2017
Plot  Area,Hoodi,5,3250,5,Yes,2,395,Ready To Move,2019
Plot  Area,Ambedkar Nagar,4,3500,4,Yes,2,550,Ready To Move,2018
Plot  Area,Manjunath Nagar,5,1200,6,Yes,2,110,Ready To Move,2019
Super built up  Area,Kanakpura Road,3,1100,2,Yes,1,53,20-Dec,2017
Super built up  Area,Electronic City Phase II,3,1305,3,Yes,1,65,Ready To Move,2015
Built up  Area,Ayappa Nagar,2,1236,2,Yes,1,50,Ready To Move,2017
Built up  Area,Uttarahalli,2,1125,1,Yes,2,45,Ready To Move,2017
Built up  Area,KR Puram,2,1075,2,Yes,2,32.25,18-May,2017
Super built up  Area,BEML Layout,3,2000,3,Yes,2,85,Ready To Move,2015
Plot  Area,Kadugondanahalli,8,772,5,Yes,1,60,Ready To Move,2019
Built up  Area,Thanisandra,6,2999,6,Yes,0,110,Ready To Move,2019
Super built up  Area,Kadugodi,2,1150,2,Yes,2,42,Ready To Move,2017
Plot  Area,9th Block Jayanagar,4,1440,4,Yes,1,240,Ready To Move,2018
Super built up  Area,Hennur Road,2,1085,2,Yes,1,43.4,Ready To Move,2017
Built up  Area,Hebbal Kempapura,3,1785,3,Yes,0,165,Ready To Move,2015
Super built up  Area,Malleshwaram,3,2475,4,Yes,3,300,Ready To Move,2018
Super built up  Area,Thanisandra,3,1930,4,Yes,2,120,Ready To Move,2018
Super built up  Area,4th Phase JP Nagar,2,600,4,Yes,1,70,Ready To Move,2018
Plot  Area,Kadugondanahalli,2,800,1,Yes,0,45,Ready To Move,2017
Built up  Area,Kumaraswami Layout,4,2450,3,Yes,2,110,Ready To Move,2015
Plot  Area,akshaya nagar t c palya,4,1200,4,Yes,0,120,17-Dec,2018
Super built up  Area,Bannerghatta Road,3,1920,3,Yes,3,122,Ready To Move,2015
Super built up  Area,Kothannur,2,1085,2,Yes,2,34.2,18-Apr,2017
Super built up  Area,Thanisandra,1,760,1,Yes,2,50.4,Ready To Move,2017
Built up  Area,Sahakara Nagar,2,1201,2,Yes,3,80,Ready To Move,2017
Super built up  Area,Electronic City,3,1615,3,Yes,2,97,18-Jul,2015
Super built up  Area,HSR Layout,2,1289,2,Yes,,70,Ready To Move,2017
Super built up  Area,Budigere,3,1991,4,Yes,2,100,Ready To Move,2018
Super built up  Area,Kasavanhalli,2,1377,2,Yes,2,80,Ready To Move,2017
Super built up  Area,Cunningham Road,3,2880,3,Yes,2,560,Ready To Move,2015
Plot  Area,Laxmi Sagar Layout,3,1892,3,Yes,2,200,Ready To Move,2015
Built up  Area,Shivaji Nagar,3,2176,3,Yes,3,348,Ready To Move,2015
Super built up  Area,Thanisandra,1,663,1,Yes,0,32.82,21-Dec,2017
Built up  Area,Electronic City,2,1165,2,Yes,1,33.65,18-Dec,2017
Super built up  Area,Talaghattapura,3,3554,4,Yes,1,340,Ready To Move,2018
Super built up  Area,Thanisandra,2,1260,2,Yes,1,45.5,Ready To Move,2017
Built up  Area,Volagerekallahalli,2,1095,2,Yes,1,39,Ready To Move,2017
Super built up  Area,KR Garden,2,1050,2,Yes,2,65,Ready To Move,2017
Super built up  Area,Seegehalli,2,1176,2,Yes,2,50,Ready To Move,2017
Super built up  Area,Thanisandra,3,1801,3,Yes,2,115,Ready To Move,2015
Super built up  Area,Whitefield,2,1315,2,Yes,3,55,Ready To Move,2017
Super built up  Area,Parappana Agrahara,2,1194,2,Yes,2,46,Ready To Move,2017
Plot  Area,NRI Layout,2,2400,2,Yes,1,125,Ready To Move,2017
Super built up  Area,Uttarahalli,3,1308,2,Yes,3,53,18-Mar,2017
Plot  Area,Sarjapur  Road,4,4250,4,Yes,2,610,Ready To Move,2018
Super built up  Area,Thanisandra,3,1806,6,Yes,2,116,Ready To Move,2019
Built up  Area,Thanisandra,4,3671,4,Yes,1,220,17-Dec,2018
Super built up  Area,Hoodi,3,2144,3,Yes,2,140,Ready To Move,2015
Built up  Area,Hoskote,2,1065,2,Yes,3,33.75,Ready To Move,2017
Super built up  Area,Balagere,2,1205,2,Yes,1,67,17-Oct,2017
Super built up  Area,Uttarahalli,2,1160,2,Yes,2,40.58,Ready To Move,2017
Plot  Area,Kanaka Nagar,4,750,4,Yes,2,90,Ready To Move,2018
Super built up  Area,Parappana Agrahara,2,1194,2,Yes,2,47,Ready To Move,2017
Plot  Area,mvj engineering college,3,1200,3,Yes,1,56.53,18-Jul,2015
Super built up  Area,2nd Phase Judicial Layout,3,1681,3,Yes,3,69,Ready To Move,2015
Built up  Area,Bommasandra Industrial Area,2,1130,2,Yes,1,32.64,18-Aug,2017
Super built up  Area,Iblur Village,4,3633,5,Yes,1,335,Ready To Move,2019
Built up  Area,Kanakpura Road,3,1843,3,Yes,2,90,Ready To Move,2015
Built up  Area,Bommasandra Industrial Area,2,1065,2,Yes,1,30.75,18-Dec,2017
Super built up  Area,Thubarahalli,3,1885,3,Yes,2,85.52,Ready To Move,2015
Super built up  Area,R.T. Nagar,2,1500,2,Yes,2,45,Ready To Move,2017
Super built up  Area,Panathur,2,1210,2,Yes,2,69,Ready To Move,2017
Super built up  Area,TC Palaya,2,1126,2,Yes,1,39.4,Ready To Move,2017
Super built up  Area,Rayasandra,3,1357,2,Yes,2,59,Ready To Move,2017
Super built up  Area,Whitefield,3,1451,2,Yes,2,46.4,Ready To Move,2017
Plot  Area,Kodigehaali,4,1600,3,Yes,3,185,Ready To Move,2015
Super built up  Area,Hennur Road,2,950,2,Yes,1,55,Ready To Move,2017
Built up  Area,Bellandur,2,960,2,Yes,2,48,Ready To Move,2017
Super built up  Area,2nd Block Bel Layout,3,1625,3,Yes,3,92,Ready To Move,2015
Plot  Area,Kaggalipura,3,2200,4,Yes,1,150,18-May,2018
Super built up  Area,Ambalipura,3,1607,2,Yes,2,112,Ready To Move,2017
Super built up  Area,Kanakpura Road,2,900,2,Yes,1,46.29,21-Dec,2017
Built up  Area,Shree Ananth Nagar Layout,2,1080,2,Yes,2,38,Ready To Move,2017
Super built up  Area,Cooke Town,3,2300,3,Yes,1,250,Ready To Move,2015
Super built up  Area,Hosa Road,4,1708,3,Yes,0,64.05,Ready To Move,2015
Built up  Area,Yeshwanthpur,6,2500,5,Yes,2,185,Ready To Move,2019
Super built up  Area,Bellandur,3,1690,2,Yes,2,116,Ready To Move,2017
Built up  Area,RR Layout,5,2100,3,Yes,0,145,Ready To Move,2015
Super built up  Area,4th Block Koramangala,2,1269,2,Yes,2,97,Ready To Move,2017
Super built up  Area,Haralur Road,2,1243,2,Yes,2,46,Ready To Move,2017
Built up  Area,Haralur Road,3,1890,3,Yes,2,84,Ready To Move,2015
Built up  Area,Electronic City Phase II,2,1165,2,Yes,1,33.64,18-Aug,2017
Super built up  Area,BTM Layout,2,1196,2,Yes,2,56.81,Ready To Move,2017
Super built up  Area,Parappana Agrahara,2,1194,2,Yes,2,47,Ready To Move,2017
Super built up  Area,Old Madras Road,3,1630,3,Yes,2,110,Ready To Move,2015
Super built up  Area,Whitefield,2,1063,2,Yes,1,42.52,19-Apr,2017
Super built up  Area,Shikaripalya,2,1025,2,Yes,1,39.98,Ready To Move,2017
Super built up  Area,Chikkabanavar,2,1067,2,Yes,1,38,Ready To Move,2017
Super built up  Area,Kanakpura Road,2,1299,2,Yes,1,89.63,19-Sep,2017
Super built up  Area,Panathur,2,1343,2,Yes,1,76,18-May,2017
Super built up  Area,Electronics City Phase 1,3,1330,2,Yes,2,44,Ready To Move,2017
Super built up  Area,Mallasandra,3,1524,2,Yes,3,72,Ready To Move,2017
Super built up  Area,Lingadheeranahalli,4,2236,4,Yes,2,153,Ready To Move,2018
Super built up  Area,Domlur,3,2955,3,Yes,,235,Ready To Move,2015
Super built up  Area,Raja Rajashweri Nagar,3,1410,2,Yes,2,45.12,18-Mar,2017
Super built up  Area,Kothanur,3,1581,3,Yes,3,76,Ready To Move,2015
Super built up  Area,Balagere,2,1205,2,Yes,1,79,Ready To Move,2017
Super built up  Area,Thyagaraja Nagar,3,1270,2,Yes,2,95.25,Ready To Move,2017
Super built up  Area,VHBCS Layout,3,1353,2,Yes,2,110,Ready To Move,2017
Plot  Area,Jinkethimmanahalli,2,1200,2,Yes,1,68,18-Feb,2017
Super built up  Area,basaveshwarnagar,3,1250,2,Yes,1,70,Ready To Move,2017
Super built up  Area,Gopalapura,3,1950,3,Yes,2,261,19-Mar,2015
Super built up  Area,Sarjapur  Road,3,1157,2,Yes,1,69,18-Nov,2017
Super built up  Area,Kanakapura,1,712938,1,Yes,0,35.475,19-Dec,2017
Built up  Area,Sarjapur  Road,2,1000,2,Yes,2,40,Ready To Move,2017
Built up  Area,Yelahanka,1,602,1,Yes,1,33,18-Apr,2017
Built up  Area,Malleshwaram,5,3000,4,Yes,0,900,Ready To Move,2018
Super built up  Area,Hoodi,2,1108,2,Yes,0,66.46,21-Jul,2017
Super built up  Area,Thyagaraja Nagar,2,1040,2,Yes,1,68,Ready To Move,2017
Super built up  Area,Sarjapur,2,1451,2,Yes,1,87,20-Dec,2017
Super built up  Area,Raja Rajeshwari Nagar,2,1196,2,Yes,2,40.54,Ready To Move,2017
Super built up  Area,Kanakpura Road,1,850,1,Yes,1,37.32,18-May,2017
Super built up  Area,Gopalapura,3,2171,3,Yes,2,298,19-Mar,2015
Super built up  Area,Kanaka Nagar,2,900,2,Yes,1,40,Ready To Move,2017
Super built up  Area,Kudlu,1,720,1,Yes,1,33,Ready To Move,2017
Super built up  Area,Thanisandra,3,1573,3,Yes,2,115,Ready To Move,2015
Super built up  Area,Sarjapur  Road,2,1026,2,Yes,1,60.8,Ready To Move,2017
Super built up  Area,CV Raman Nagar,3,1400,2,Yes,2,78,Ready To Move,2017
Built up  Area,Electronic City Phase II,3,1400,2,Yes,2,40.44,18-Jul,2017
Built up  Area,Banashankari Stage III,4,2100,3,Yes,1,147,Ready To Move,2015
Super built up  Area,Sarjapur  Road,2,1150,2,Yes,1,48.5,Ready To Move,2017
Super built up  Area,Raja Rajeshwari Nagar,3,1500,3,Yes,2,88,Ready To Move,2015
Super built up  Area,Malleshwaram,3,2400,3,Yes,2,380,Ready To Move,2015
Plot  Area,HRBR Layout,3,1200,3,Yes,2,240,Ready To Move,2015
Super built up  Area,Kothanur,3,1790,3,Yes,2,105,Ready To Move,2015
Super built up  Area,Ramagondanahalli,2,1125,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Hennur,3,1783,3,Yes,0,84.205,18-Dec,2015
Super built up  Area,Marathahalli,2,1100,2,Yes,1,50,Ready To Move,2017
Built up  Area,7th Phase JP Nagar,2,120,2,Yes,1,51,Ready To Move,2017
Built up  Area,Banaswadi,2,1105,2,Yes,2,57,Ready To Move,2017
Super built up  Area,Thanisandra,2,1110,2,Yes,2,46.5,Ready To Move,2017
Super built up  Area,Dasanapura,1,708,1,Yes,1,41,Ready To Move,2017
Super built up  Area,Kudlu,2,1027,2,Yes,2,44,Ready To Move,2017
Super built up  Area,"Banashankari 3rd stage, Vivekanandanagar",3,1600,3,Yes,1,100,18-May,2015
Super built up  Area,Thigalarapalya,4,3122,6,Yes,2,250,Ready To Move,2019
Super built up  Area,Sarjapur  Road,2,1205,2,Yes,2,37,Ready To Move,2017
Super built up  Area,5th Phase JP Nagar,3,1450,2,Yes,2,73,Ready To Move,2017
Plot  Area,Thyagaraja Nagar,4,750,4,Yes,2,125,Ready To Move,2018
Plot  Area,Annaiah Reddy Layout,1,540,1,Yes,0,22,Ready To Move,2017
Built up  Area,Dasarahalli,2,1200,2,Yes,2,42,Ready To Move,2017
Plot  Area,Nagarbhavi,5,1200,5,Yes,1,260,Ready To Move,2019
Super built up  Area,Kalena Agrahara,3,1837,2,Yes,2,95,Ready To Move,2017
Super built up  Area,Whitefield,2,1346,2,Yes,1,76.01,18-Dec,2017
Built up  Area,Balagere,2,1012,2,Yes,1,68,Ready To Move,2017
Super built up  Area,Gopalapura,3,1950,3,Yes,2,193,18-Dec,2015
Super built up  Area,Atmananda Colony,2,1125,2,Yes,2,55,Ready To Move,2017
Super built up  Area,Kaggadasapura,3,1500,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Harlur,2,1197,2,Yes,1,79.9,Ready To Move,2017
Super built up  Area,Chandapura,3,1230,2,Yes,2,31.37,18-Sep,2017
Super built up  Area,BTM 2nd Stage,2,1100,2,Yes,2,47,Ready To Move,2017
Super built up  Area,Channasandra Layout,3,1563,2,Yes,2,52,Ready To Move,2017
Plot  Area,4th Block Jayanagar,7,2240,4,Yes,1,700,Ready To Move,2018
Super built up  Area,Hebbal Kempapura,4,3729,4,Yes,2,384,Ready To Move,2018
Plot  Area,Sarjapur  Road,3,1600,3,Yes,1,120,Ready To Move,2015
Super built up  Area,Green Glen Layout,3,1715,3,Yes,3,120,Ready To Move,2015
Built up  Area,Bannerghatta Road,4,2400,4,Yes,1,180,Ready To Move,2018
Super built up  Area,Ramagondanahalli,2,1151,2,Yes,2,42.5,18-Jul,2017
Plot  Area,Banaswadi,6,1200,6,Yes,2,220,Ready To Move,2019
Built up  Area,Uttarahalli,2,1123,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Whitefield,2,1276,2,Yes,1,69.5,20-Jan,2017
Super built up  Area,Yelahanka,2,1315,2,Yes,3,77,Ready To Move,2017
Super built up  Area,Poorna Pragna Layout,3,1270,2,Yes,2,50.79,Ready To Move,2017
Super built up  Area,R.T. Nagar,2,1325,2,Yes,2,52,Ready To Move,2017
Super built up  Area,Varthur,3,1600,3,Yes,2,63.2,18-Apr,2015
Super built up  Area,Jakkur,3,1660,3,Yes,2,104,Ready To Move,2015
Super built up  Area,Kodichikkanahalli,2,1299,2,Yes,3,58,Ready To Move,2017
Super built up  Area,Haralur Road,2,953,2,Yes,1,90,Ready To Move,2017
Super built up  Area,Gunjur,2,1457,2,Yes,3,60,Ready To Move,2017
Super built up  Area,Varthur,2,1000,1,Yes,1,65,18-May,2017
Built up  Area,Mallasandra,3,1100,2,Yes,3,76.3,Ready To Move,2017
Super built up  Area,Yelahanka,3,1075,2,Yes,1,33.53,Ready To Move,2017
Super built up  Area,Kanakpura Road,3,1450,3,Yes,3,51,Ready To Move,2015
Super built up  Area,Iblur Village,5,5515,6,Yes,2,425,Ready To Move,2019
Super built up  Area,Bellandur,1,950,1,Yes,1,40,Ready To Move,2017
Plot  Area,Basaveshwara Nagar,5,1200,3,Yes,1,180,Ready To Move,2015
Super built up  Area,Amam Enclave Layout,2,1013,2,Yes,2,60,Ready To Move,2017
Super built up  Area,Hennur Road,2,1140,2,Yes,2,56,Ready To Move,2017
Super built up  Area,4th T block Jayanagar,3,2100,3,Yes,3,220,Ready To Move,2015
Super built up  Area,Yelahanka,3,1430,3,Yes,1,61,Ready To Move,2015
Plot  Area,Ilyas Nagar,4,600,3,Yes,0,95,Ready To Move,2015
Carpet  Area,Anantapura,3,1600,3,Yes,2,77,Ready To Move,2015
Super built up  Area,Ayappa Nagar,2,1190,2,Yes,1,48,Ready To Move,2017
Super built up  Area,Ashwath Nagar,3,1625,3,Yes,2,95,Ready To Move,2015
Super built up  Area,Classic Paradise Layout,2,1210,2,Yes,2,53,Ready To Move,2017
Super built up  Area,Lakshminarayana Pura,3,1615,3,Yes,2,150,Ready To Move,2015
Super built up  Area,Kalena Agrahara,2,1180,2,Yes,2,85,Ready To Move,2017
Plot  Area,Nagasandra,2,1500,2,Yes,0,91,Ready To Move,2017
Built up  Area,Bellandur,2,850,2,Yes,1,45,Ready To Move,2017
Super built up  Area,Kothanur,2,1130,2,Yes,2,55,Ready To Move,2017
Super built up  Area,CV Raman Nagar,2,907,2,Yes,2,38,Ready To Move,2017
Built up  Area,HRBR Layout,2,1300,2,Yes,3,90,Ready To Move,2017
Super built up  Area,Hennur Road,3,1891,3,Yes,1,110,Ready To Move,2015
